id;total_personas;personas15_65;personas65;padron;long;lat;urbano
1;1515;1124;89;1213;-70,76197943;-33,46607326;1
2;71;53;0;53;-70,76158861;-33,46480329;1
3;178;127;12;139;-70,75890477;-33,46490555;1
4;109;82;5;87;-70,75770348;-33,46512116;1
5;288;215;11;226;-70,75718668;-33,46601263;1
6;155;116;8;124;-70,7589031;-33,46529718;1
7;259;193;18;211;-70,75679311;-33,46605333;1
8;164;113;18;131;-70,76095739;-33,46529323;1
9;209;156;13;169;-70,75645575;-33,46609138;1
10;217;182;10;192;-70,75612221;-33,46613711;1
11;205;163;11;174;-70,75579186;-33,46617805;1
12;103;87;0;87;-70,75801059;-33,46568892;1
13;228;175;15;190;-70,7554435;-33,46620041;1
14;223;167;17;184;-70,75765107;-33,46615326;1
15;126;96;0;96;-70,75508555;-33,46627591;1
16;183;141;9;150;-70,75923353;-33,46610304;1
17;69;51;0;51;-70,76125823;-33,46568208;1
18;145;126;7;133;-70,75856344;-33,46620664;1
19;73;54;4;58;-70,75311739;-33,46651934;1
20;107;78;11;89;-70,75142938;-33,46627413;1
21;103;79;8;87;-70,75813903;-33,46649573;1
22;86;61;8;69;-70,75008435;-33,46650631;1
23;109;89;0;89;-70,75150437;-33,46661149;1
24;91;73;5;78;-70,74894201;-33,46670735;1
25;39;29;4;33;-70,76127592;-33,46662837;1
26;98;72;6;78;-70,76042097;-33,46665012;1
27;78;68;0;68;-70,75017203;-33,46684315;1
28;101;83;10;93;-70,75263355;-33,46712668;1
29;221;167;18;185;-70,74802913;-33,46787944;1
30;128;107;6;113;-70,75158871;-33,46692953;1
31;88;66;11;77;-70,74690428;-33,4670716;1
32;91;70;10;80;-70,74902202;-33,46704427;1
33;90;76;0;76;-70,75024686;-33,46716039;1
34;182;151;9;160;-70,75845821;-33,46708176;1
35;53;41;7;48;-70,74606239;-33,46734442;1
36;77;61;0;61;-70,75229534;-33,46735282;1
37;57;47;5;52;-70,76106664;-33,46723824;1
38;77;59;0;59;-70,75191547;-33,46741952;1
39;115;90;6;96;-70,74542856;-33,46792024;1
40;110;89;5;94;-70,74910602;-33,46736223;1
41;67;55;5;60;-70,75153403;-33,4674864;1
42;310;239;15;254;-70,75753752;-33,46830279;1
43;88;61;7;68;-70,74701353;-33,467411;1
44;115;93;6;99;-70,7450416;-33,46798082;1
